파일명,파일명 재정리,시청각기록물 등록번호,제목,유형,MIME 유형,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도
강진주_20170201_제기.jpg,M-A321072.jpg,M-A321072,제기,사진류,image/jpeg,1299x1732,,2017-02-01,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
강진주_20180402_볏짚짜개.jpg,M-A321073.jpg,M-A321073,볏짚짜개,사진류,image/jpeg,1560x2078,,2018-04-02,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
강진주_20180409_탈곡기.jpg,M-A321074.jpg,M-A321074,탈곡기,사진류,image/jpeg,1429x1905,,2018-04-09,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
강진주_20180423_어망.jpg,M-A321075.jpg,M-A321075,어망,사진류,image/jpeg,1429x1905,,2018-04-23,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
강진주_20180427_소등받이.jpg,M-A321076.jpg,M-A321076,소등받이,사진류,image/jpeg,1512x2251,,2018-04-27,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
강진주_20180504_쟁기.jpg,M-A321077.jpg,M-A321077,쟁기,사진류,image/jpeg,1320x1905,,2018-05-04,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
강진주_201806112_절구.jpg,M-A321078.jpg,M-A321078,절구,사진류,image/jpeg,1659x2092,,2018-06-12,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
강진주_20180619_쌀 거름기.jpg,M-A321079.jpg,M-A321079,쌀 거름기,사진류,image/jpeg,1299x1732,,2018-06-19,강진주,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,8인의 작가,도구들,사물,
10-고정남-상록수역-2018-0622-30.jpg,M-A321080.jpg,M-A321080,상록수역,사진류,image/jpeg,2365x3543,,2018-06-22,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
11-고정남-인천역-2018-0623-30.jpg,M-A321081.jpg,M-A321081,인천역,사진류,image/jpeg,2362x3539,,2018-06-23,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
12-고정남-원인재역-2018-0505-30.jpg,M-A321082.jpg,M-A321082,원인재역,사진류,image/jpeg,2365x3543,,2018-05-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
13-고정남-원인재역-2018-0513-30.jpg,M-A321083.jpg,M-A321083,원인재역,사진류,image/jpeg,2365x3543,,2018-05-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
14-고정남-원인재역-2018-0513-30.jpg,M-A321084.jpg,M-A321084,원인재역,사진류,image/jpeg,3543x2365,,2018-05-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
15-고정남-고색역-2018-060-30.jpg,M-A321085.jpg,M-A321085,고색역,사진류,image/jpeg,3543x2365,,2018-06-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
16-고정남-고색역-2018-0605-30.jpg,M-A321086.jpg,M-A321086,고색역,사진류,image/jpeg,3543x2365,,2018-06-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
17-고정남-봉담역역-2018-0605-30.jpg,M-A321087.jpg,M-A321087,봉담역역,사진류,image/jpeg,3543x2365,,2018-06-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
