파일명,파일명 재정리,시청각기록물 등록번호,제목,유형,MIME 유형,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도
강재훈-가평 남이섬 여객선01.tif,M-A321418.tif,M-A321418,가평 남이섬 여객선,사진류,image/tiff,4256x2832,,2010-04-11,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-가평 아침고요수목원01-1.TIF,M-A321419.tif,M-A321419,가평 아침고요수목원,사진류,image/tiff,3888x2592,,2009-12-06,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-가평 호명호수길02.tif,M-A321420.tif,M-A321420,가평 호명호수길,사진류,image/tiff,4256x2832,,2010-04-11,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 과천 과학축제01.tif,M-A321421.tif,M-A321421,교육 과천 과학축제,사진류,image/tiff,3888x2592,,2010-04-25,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 과천 자유학교01.tif,M-A321422.tif,M-A321422,교육 과천 자유학교,사진류,image/tiff,3888x2592,,2010-06-26,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 과천 자유학교02.tif,M-A321423.tif,M-A321423,교육 과천 자유학교,사진류,image/tiff,3888x2592,,2010-06-26,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 과천 자유학교04-1.TIF,M-A321424.tif,M-A321424,교육 과천 자유학교,사진류,image/tiff,3888x2592,,2010-06-26,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 과천 자유학교05-1.TIF,M-A321425.tif,M-A321425,교육 과천 자유학교,사진류,image/tiff,3888x2592,,2010-06-26,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실01-1.TIF,M-A321426.tif,M-A321426,교육 남양주 도심초 교실,사진류,image/tiff,3084x2070,,2010-08-06,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실02-1.TIF,M-A321427.tif,M-A321427,교육 남양주 도심초 교실,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실04-1.TIF,M-A321428.tif,M-A321428,교육 남양주 도심초 교실,사진류,image/tiff,3888x2592,,2010-08-06,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실05.tif,M-A321429.tif,M-A321429,교육 남양주 도심초 교실,사진류,image/tiff,3888x2592,,2010-08-06,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실06-1.TIF,M-A321430.tif,M-A321430,교육 남양주 도심초 교실,사진류,image/tiff,3690x2496,,2010-08-06,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실07.tif,M-A321431.tif,M-A321431,교육 남양주 도심초 교실,사진류,image/tiff,4256x2832,,2010-04-17,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실09-1.TIF,M-A321432.tif,M-A321432,교육 남양주 도심초 교실,사진류,image/tiff,4256x2832,,2010-04-17,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 교실10.tif,M-A321433.tif,M-A321433,교육 남양주 도심초 교실,사진류,image/tiff,3888x2592,,2010-04-17,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 단소교실01-1.TIF,M-A321434.tif,M-A321434,교육 남양주 도심초 단소교실,사진류,image/tiff,3888x2592,,2010-08-13,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 단소교실02-1.TIF,M-A321435.tif,M-A321435,교육 남양주 도심초 단소교실,사진류,image/tiff,2592x3888,,2010-08-13,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 단소교실03.tif,M-A321436.tif,M-A321436,교육 남양주 도심초 단소교실,사진류,image/tiff,2592x3888,,2010-08-13,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 독서01-1.TIF,M-A321437.tif,M-A321437,교육 남양주 도심초 독서,사진류,image/tiff,2504x3776,,2010-08-09,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 독서02.tif,M-A321438.tif,M-A321438,교육 남양주 도심초 독서,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 독서03.tif,M-A321439.tif,M-A321439,교육 남양주 도심초 독서,사진류,image/tiff,2680x1824,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 등교02.tif,M-A321440.tif,M-A321440,교육 남양주 도심초 등교,사진류,image/tiff,4256x2832,,2010-08-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 미술교실01-1.TIF,M-A321441.tif,M-A321441,교육 남양주 도심초 미술교실,사진류,image/tiff,3888x2592,,2010-08-09,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 발레교실01-1.TIF,M-A321442.tif,M-A321442,교육 남양주 도심초 발레교실,사진류,image/tiff,3888x2592,,2010-08-09,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 발레교실02.tif,M-A321443.tif,M-A321443,교육 남양주 도심초 발레교실,사진류,image/tiff,3888x2592,,2010-08-09,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 방학과제물01.tif,M-A321444.tif,M-A321444,교육 남양주 도심초 방학과제물,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 자화상01.tif,M-A321445.tif,M-A321445,교육 남양주 도심초 자화상,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 축구01-1.TIF,M-A321446.tif,M-A321446,교육 남양주 도심초 축구,사진류,image/tiff,4368x2912,,2010-08-06,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 축구03-1.TIF,M-A321447.tif,M-A321447,교육 남양주 도심초 축구,사진류,image/tiff,4368x2912,,2010-08-06,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 칠판01-1.TIF,M-A321448.tif,M-A321448,교육 남양주 도심초 칠판,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 하교02.tif,M-A321449.tif,M-A321449,교육 남양주 도심초 하교,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 하교03.tif,M-A321450.tif,M-A321450,교육 남양주 도심초 하교,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 도심초 하교04-1.TIF,M-A321451.tif,M-A321451,교육 남양주 도심초 하교,사진류,image/tiff,4256x2832,,2010-08-31,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 예봉초 운동회01.tif,M-A321452.tif,M-A321452,교육 남양주 예봉초 운동회,사진류,image/tiff,3888x2592,,2010-05-01,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 예봉초 운동회03-1.TIF,M-A321453.tif,M-A321453,교육 남양주 예봉초 운동회,사진류,image/tiff,3888x2592,,2010-05-01,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 예봉초 운동회05-1.TIF,M-A321454.tif,M-A321454,교육 남양주 예봉초 운동회,사진류,image/tiff,3888x2592,,2010-05-01,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 예봉초 운동회06.tif,M-A321455.tif,M-A321455,교육 남양주 예봉초 운동회,사진류,image/tiff,3888x2592,,2010-05-01,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 예봉초 운동회07.tif,M-A321456.tif,M-A321456,교육 남양주 예봉초 운동회,사진류,image/tiff,3888x2592,,2010-05-01,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 남양주 예봉초 운동회09-1.TIF,M-A321457.tif,M-A321457,교육 남양주 예봉초 운동회,사진류,image/tiff,3888x2592,,2010-05-01,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 안양 노인회 서예교실01.tif,M-A321458.tif,M-A321458,교육 안양 노인회 서예교실,사진류,image/tiff,3504x2336,,2007-10-02,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 양평 개군초 학교숲01-1.TIF,M-A321459.tif,M-A321459,교육 양평 개군초 학교숲,사진류,image/tiff,4896x3264,,2010-09-05,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 양평 고송분교01.tif,M-A321460.tif,M-A321460,교육 양평 고송분교,사진류,image/tiff,4256x2832,,2010-09-15,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 양평 고송분교02-1.TIF,M-A321461.tif,M-A321461,교육 양평 고송분교,사진류,image/tiff,4256x2832,,2010-09-15,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 양평 숲속나무 어버이날01.tif,M-A321462.tif,M-A321462,교육 양평 숲속나무 어버이날,사진류,image/tiff,4256x2832,,2010-05-07,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 양평 조현초 어린이01-1.TIF,M-A321463.tif,M-A321463,교육 양평 조현초 어린이,사진류,image/tiff,4896x3264,,2010-09-05,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 양평 조현초 어린이02.tif,M-A321464.tif,M-A321464,교육 양평 조현초 어린이,사진류,image/tiff,4896x3264,,2010-09-05,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 양평 지평초 학교이미지03-1.TIF,M-A321465.tif,M-A321465,교육 양평 지평초 학교이미지,사진류,image/tiff,4896x3264,,2010-09-05,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 이천 도암초 국악교실01.tif,M-A321466.tif,M-A321466,교육 이천 도암초 국악교실,사진류,image/tiff,3276x1947,,2010-10-29,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 이천 도자기교실01-1.TIF,M-A321467.tif,M-A321467,교육 이천 도자기교실,사진류,image/tiff,3642x2460,,2009-04-26,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 이천 설봉서원01.tif,M-A321468.tif,M-A321468,교육 이천 설봉서원,사진류,image/tiff,4896x3264,,2010-09-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 이천 설봉서원02.tif,M-A321469.tif,M-A321469,교육 이천 설봉서원,사진류,image/tiff,4896x3264,,2010-09-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 이천 설봉서원03-1.TIF,M-A321470.tif,M-A321470,교육 이천 설봉서원,사진류,image/tiff,4896x3264,,2010-09-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 이천 설봉서원04-1.TIF,M-A321471.tif,M-A321471,교육 이천 설봉서원,사진류,image/tiff,3264x4896,,2010-09-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 이천 평생학습축제01.tif,M-A321472.tif,M-A321472,교육 이천 평생학습축제,사진류,image/tiff,4896x3264,,2010-09-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 초등교과서01-1.TIF,M-A321473.tif,M-A321473,교육 초등교과서,사진류,image/tiff,4256x2832,,2010-08-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 초등교과서02.tif,M-A321474.tif,M-A321474,교육 초등교과서,사진류,image/tiff,4256x2832,,2010-08-30,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 하남 꽃피는학교04-1.TIF,M-A321475.tif,M-A321475,교육 하남 꽃피는학교,사진류,image/tiff,2832x4256,,2010-04-23,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 하남 꽃피는학교05.tif,M-A321476.tif,M-A321476,교육 하남 꽃피는학교,사진류,image/tiff,4256x2832,,2010-04-23,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-교육 하남 꽃피는학교06.tif,M-A321477.tif,M-A321477,교육 하남 꽃피는학교,사진류,image/tiff,4896x3264,,2010-06-18,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-남양주 정약용 생가01.tif,M-A321478.tif,M-A321478,남양주 정약용 생가,사진류,image/tiff,4256x2832,,2010-04-04,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
강재훈-양평 남한강 새벽풍경01.tif,M-A321479.tif,M-A321479,양평 남한강 새벽풍경,사진류,image/tiff,3504x2336,,2010-10-29,강재훈,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 교육,풍경,
2007년_대부도_박홍순.tif,M-A321480.tif,M-A321480,대부도,사진류,image/tiff,7701x3812,,,박홍순,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 바다,풍경,
2007년_매향리_박홍순.tif,M-A321481.tif,M-A321481,매향리,사진류,image/tiff,7648x3794,,,박홍순,2018-08-07,최연하,2018-08-23,이상민,경기천년 기록 아카이브,경기기록,대여작품,경기도의 바다,풍경,
