파일명,파일명 재정리,생산(수집) 등록번호,시청각기록물 등록번호,제목,유형,MIME 유형,File 유형,File 사이즈,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도,MD5 Checksum
김윤섭 01_광명 풀씨학교0417_경기도의아이들3367.JPG,M-A321136.jpg,,M-A321136,풀씨학교3367 ,사진류,image/jpeg,jpg,24 MB,5849x3899,,2018:04:17 14:23:46,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 02_광명 볍씨학교0419_경기도의아이들_ KYS_3668.JPG,M-A321137.jpg,,M-A321137,볍씨학교3668 ,사진류,image/jpeg,jpg,19 MB,5673x3782,,2018:04:19 09:56:00,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 03_수원 달팽이어린이집0427_경기도의아이들_ KYS_5235.JPG,M-A321138.jpg,,M-A321138,달팽이어린이집5235 ,사진류,image/jpeg,jpg,16 MB,5643x3762,,2018:04:27 11:15:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 04_수원 달팽이어린이집0427_경기도의아이들_ KYS_5501.JPG,M-A321139.jpg,,M-A321139,달팽이어린이집5501 ,사진류,image/jpeg,jpg,12 MB,5928x3952,,2018:04:27 11:48:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 05_광명 볍씨학교0419_경기도의아이들4069.JPG,M-A321140.jpg,,M-A321140,볍씨학교4069 ,사진류,image/jpeg,jpg,16 MB,5817x3878,,2018:04:19 12:06:48,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 06_시흥 승지초등학교0412_경기도의아이들2417.JPG,M-A321141.jpg,,M-A321141,승지초등학교2417,사진류,image/jpeg,jpg,11 MB,5895x3930,,2018:04:12 10:40:31,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 07_시흥 승지초등학교0410_경기도의아이들1639.JPG,M-A321142.jpg,,M-A321142,승지초등학교1639,사진류,image/jpeg,jpg,12 MB,5838x3892,,2018:04:10 12:35:59,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 08_광명 풀씨학교0508_경기도의아이들6827.JPG,M-A321143.jpg,,M-A321143,풀씨학교6827,사진류,image/jpeg,jpg,9.9 MB,5511x3674,,2018:05:08 11:32:13,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 09_광명 볍씨학교0419_경기도의아이들3614.JPG,M-A321144.jpg,,M-A321144,볍씨학교3614,사진류,image/jpeg,jpg,20 MB,5700x3800,,2018:04:19 09:39:49,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 10_광명 풀씨학교0508_경기도의아이들7481.JPG,M-A321145.jpg,,M-A321145,풀씨학교7481,사진류,image/jpeg,jpg,12 MB,5043x3362,,2018:05:08 16:16:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 11_광명 볍씨학교0419_경기도의아이들3659.JPG,M-A321146.jpg,,M-A321146,볍씨학교3659,사진류,image/jpeg,jpg,19 MB,5907x3938,,2018:04:19 09:53:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 12_광명 볍씨학교0417_경기도의아이들3519.JPG,M-A321147.jpg,,M-A321147,볍씨학교3519,사진류,image/jpeg,jpg,9.2 MB,5958x3972,,2018:04:17 15:29:31,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 13_시흥 승지초등학교0410_경기도의아이들1237.JPG,M-A321148.jpg,,M-A321148,승지초등학교1237,사진류,image/jpeg,jpg,12 MB,5070x3380,,2018:04:10 11:15:01,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 14_시흥 승지초등학교0410_경기도의아이들1005.JPG,M-A321149.jpg,,M-A321149,승지초등학교1005,사진류,image/jpeg,jpg,8.4 MB,5461x3641,,2018:04:10 10:36:13,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 15_광명 풀씨학교0417_경기도의아이들3383.JPG,M-A321150.jpg,,M-A321150,풀씨학교3383,사진류,image/jpeg,jpg,13 MB,5724x3816,,2018:04:17 14:29:12,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 16_광명 볍씨학교0510_경기도의아이들7729.JPG,M-A321151.jpg,,M-A321151,볍씨학교7729,사진류,image/jpeg,jpg,17 MB,5742x3828,,2018:05:10 09:35:37,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 17_시흥 승지초등학교0412_경기도의아이들_토피아리 돌보기2546.JPG,M-A321152.jpg,,M-A321152,승지초등학교 토피아리 돌보기2546,사진류,image/jpeg,jpg,13 MB,5922x3948,,2018:04:12 12:21:47,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 18_광명 볍씨학교0417_경기도의아이들_고양이 니코3566.JPG,M-A321153.jpg,,M-A321153,볍씨학교 고양이 니코3566,사진류,image/jpeg,jpg,13 MB,5767x3845,,2018:04:17 16:00:19,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
