파일명	파일명 재정리	시청각기록물 등록번호	생산(수집) 등록번호	제목	유형	MIME 유형	File 유형	File 사이즈	Image 사이즈	재생시간	생산일	생산자	제공일	제공자	수집일	수집자	주제어(사업명)	주제어(약어)	주제어(단위과제)	주제어(과업)	주제어(주제)	주제어(피사체유형)	주제어(계절)	주제어(지역)	위도/경도	MD5 Checksum
강진주_20170201_제기.jpg	A321210M321097.jpg	M-A321097	1431052-A321210	제기	사진류	image/jpeg	jpg	353 kB	1299x1732		2017-02-01	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				ccb7ac94344bc8ac0c7079db683a770c
강진주_20180402_볏짚짜개.jpg	A321211M321098.jpg	M-A321098	1431052-A321211	볏짚짜개	사진류	image/jpeg	jpg	1434 kB	1560x2078		2018-04-02	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				f7286ebebe590b569d75d401795769f1
강진주_20180409_탈곡기.jpg	A321212M321099.jpg	M-A321099	1431052-A321212	탈곡기	사진류	image/jpeg	jpg	2.0 MB	1429x1905		2018-04-09	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				15c3cdb74dadf2769286572128ef26f5
강진주_20180423_어망.jpg	A321213M321100.jpg	M-A321100	1431052-A321213	어망	사진류	image/jpeg	jpg	1389 kB	1429x1905		2018-04-23	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				0cc7845560cfa7836b56a1ff9fd8e32f
강진주_20180427_소등받이.jpg	A321214M321101.jpg	M-A321101	1431052-A321214	소등받이	사진류	image/jpeg	jpg	958 kB	1512x2251		2018-04-27	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				c58f1ac9725f4a571ed9ca715f4e7039
강진주_20180504_쟁기.jpg	A321215M321102.jpg	M-A321102	1431052-A321215	쟁기	사진류	image/jpeg	jpg	628 kB	1320x1905		2018-05-04	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				bc206b5f37714b36c2dbecf9e91409de
강진주_201806112_절구.jpg	A321216M321103.jpg	M-A321103	1431052-A321216	절구	사진류	image/jpeg	jpg	916 kB	1659x2092		2018-06-12	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				6ac30af7d8fbea42c531fda15527871b
강진주_20180619_쌀 거름기.jpg	A321217M321104.jpg	M-A321104	1431052-A321217	쌀 거름기	사진류	image/jpeg	jpg	1127 kB	1299x1732		2018-06-19	강진주	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	도구들	사물				37c670122b00a3798672186710ec56de
강재훈-교육 초등교과서01-1.TIF	A321616M321498.tif	M-A321498	1431052-A321616	교육 초등교과서	사진류	image/tiff	tif	69 MB	4256x2832		2010-08-30	강재훈	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의교육	사물	여름			0542e034a6fd1ddc69c7e6c5be34401f
강재훈-교육 초등교과서02.tif	A321617M321499.tif	M-A321499	1431052-A321617	교육 초등교과서	사진류	image/tiff	tif	35 MB	4256x2832		2010-08-30	강재훈	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의교육	사물	여름			501df3abe9fe8475067617804c46ba11
김윤섭 01_광명 풀씨학교0417_경기도의아이들3367.JPG	A321274M321161.jpg	M-A321161	1431052-A321274	풀씨학교	사진류	image/jpeg	jpg	24 MB	5849x3899		2018:04:17 14:23:46	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			05f87994725c47a860991f7bc47b5716
김윤섭 02_광명 볍씨학교0419_경기도의아이들_ KYS_3668.JPG	A321275M321162.jpg	M-A321162	1431052-A321275	볍씨학교	사진류	image/jpeg	jpg	19 MB	5673x3782		2018:04:19 09:56:00	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			682a5ee49599e92961f76d30f0cf8242
김윤섭 03_수원 달팽이어린이집0427_경기도의아이들_ KYS_5235.JPG	A321276M321163.jpg	M-A321163	1431052-A321276	달팽이어린이집	사진류	image/jpeg	jpg	16 MB	5643x3762		2018:04:27 11:15:07	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			88cab90d088f223099df06656dcfa6ec
김윤섭 04_수원 달팽이어린이집0427_경기도의아이들_ KYS_5501.JPG	A321277M321164.jpg	M-A321164	1431052-A321277	달팽이어린이집	사진류	image/jpeg	jpg	12 MB	5928x3952		2018:04:27 11:48:07	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			9bd2cc3320083cccb99233ea28d2c9a3
김윤섭 05_광명 볍씨학교0419_경기도의아이들4069.JPG	A321278M321165.jpg	M-A321165	1431052-A321278	볍씨학교	사진류	image/jpeg	jpg	16 MB	5817x3878		2018:04:19 12:06:48	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			b123831678053fe60e3f99de4d2aed61
김윤섭 08_광명 풀씨학교0508_경기도의아이들6827.JPG	A321281M321168.jpg	M-A321168	1431052-A321281	풀씨학교	사진류	image/jpeg	jpg	9.9 MB	5511x3674		2018:05:08 11:32:13	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			b5ed00a9dc78691cfb912880e7485716
김윤섭 09_광명 볍씨학교0419_경기도의아이들3614.JPG	A321282M321169.jpg	M-A321169	1431052-A321282	볍씨학교	사진류	image/jpeg	jpg	20 MB	5700x3800		2018:04:19 09:39:49	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			214876c199dfc8322cd1f4e120ddefa7
김윤섭 10_광명 풀씨학교0508_경기도의아이들7481.JPG	A321283M321170.jpg	M-A321170	1431052-A321283	풀씨학교	사진류	image/jpeg	jpg	12 MB	5043x3362		2018:05:08 16:16:07	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			d1fcae178a9a204c7a9b792cc35dbc56
김윤섭 11_광명 볍씨학교0419_경기도의아이들3659.JPG	A321284M321171.jpg	M-A321171	1431052-A321284	볍씨학교	사진류	image/jpeg	jpg	19 MB	5907x3938		2018:04:19 09:53:07	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			06a32166aa31f1d0db9c72de8e51da1c
김윤섭 12_광명 볍씨학교0417_경기도의아이들3519.JPG	A321285M321172.jpg	M-A321172	1431052-A321285	볍씨학교	사진류	image/jpeg	jpg	9.2 MB	5958x3972		2018:04:17 15:29:31	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			60be167b0907e54a13018ac093ade84a
김윤섭 15_광명 풀씨학교0417_경기도의아이들3383.JPG	A321288M321175.jpg	M-A321175	1431052-A321288	풀씨학교	사진류	image/jpeg	jpg	13 MB	5724x3816		2018:04:17 14:29:12	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			6e1b9c3945314380c1c3cc0f0fa55135
김윤섭 16_광명 볍씨학교0510_경기도의아이들7729.JPG	A321289M321176.jpg	M-A321176	1431052-A321289	볍씨학교	사진류	image/jpeg	jpg	17 MB	5742x3828		2018:05:10 09:35:37	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			35d9ad47c78b8d04403ea3df63f31a3a
김윤섭 18_광명 볍씨학교0417_경기도의아이들_고양이 니코3566.JPG	A321291M321178.jpg	M-A321178	1431052-A321291	볍씨학교 고양이 니코	사진류	image/jpeg	jpg	13 MB	5767x3845		2018:04:17 16:00:19	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			fe50ab77feae7081195ab24fdce2aff4
김윤섭 19_광명 볍씨학교0419_경기도의아이들_고양이 니코4425.JPG	A321292M321179.jpg	M-A321179	1431052-A321292	볍씨학교 고양이 니코	사진류	image/jpeg	jpg	14 MB	5946x3964		2018:04:19 15:57:39	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			f7cb7e79f21e8656a770d17185490d19
김윤섭 20_광명 볍씨학교0419_경기도의아이들_자신의 나무에 대한 글쓰기 KYS_4272.JPG	A321293M321180.jpg	M-A321180	1431052-A321293	볍씨학교 자신의 나무에 대한 글쓰기	사진류	image/jpeg	jpg	15 MB	5670x3780		2018:04:19 14:27:56	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			13486e7b2278bb169f023cfadeb64bd0
김윤섭 21_광명 볍씨학교0510_경기도의아이들8058.JPG	A321294M321181.jpg	M-A321181	1431052-A321294	볍씨학교	사진류	image/jpeg	jpg	12 MB	5649x3766		2018:05:10 15:07:51	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			973f0f99f3a80e8fa78aa89e404e18c5
김윤섭 22_광명 풀씨학교0419_경기도의아이들3901.JPG	A321295M321182.jpg	M-A321182	1431052-A321295	풀씨학교	사진류	image/jpeg	jpg	11 MB	5756x3837		2018:04:19 11:02:35	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			30d63ec9412099b834c5f591d9332e14
김윤섭 23_광명 볍씨학교0419_경기도의아이들_주제토론4365.JPG	A321296M321183.jpg	M-A321183	1431052-A321296	볍씨학교 주제토론	사진류	image/jpeg	jpg	14 MB	5913x3942		2018:04:19 15:21:00	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			fd838458b9147dff5f9f6d3442a7dfa5
김윤섭 25_광명 풀씨학교0510_경기도의아이들7722.JPG	A321298M321185.jpg	M-A321185	1431052-A321298	풀씨학교	사진류	image/jpeg	jpg	14 MB	5820x3880		2018:05:10 09:30:14	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			c58b2f2225b234622b686e493c06bf68
김윤섭 26_수원 달팽이어린이집0427_경기도의아이들_헤어지다4982.JPG	A321299M321186.jpg	M-A321186	1431052-A321299	달팽이어린이집 헤어지다	사진류	image/jpeg	jpg	8.9 MB	5308x3539		2018:04:27 10:13:00	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			9a157bd0c92a79897ab409608d454be2
김윤섭 28_광명 볍씨학교0510_경기도의아이들8152.JPG	A321301M321188.jpg	M-A321188	1431052-A321301	볍씨학교	사진류	image/jpeg	jpg	10 MB	5615x3743		2018:05:10 16:18:15	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			6ad5c6017056bfbbda3cc6fb8d807842
김윤섭 29_광명 볍씨학교0417_경기도의아이들3270.JPG	A321302M321189.jpg	M-A321189	1431052-A321302	볍씨학교	사진류	image/jpeg	jpg	11 MB	5688x3792		2018:04:17 12:54:43	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			de598d9b2ad04d0f3f7ebd486d42aa91
김윤섭 30_광명 볍씨학교0508_경기도의아이들_지기 활동7088.JPG	A321303M321190.jpg	M-A321190	1431052-A321303	볍씨학교 지기 활동	사진류	image/jpeg	jpg	16 MB	5946x3964		2018:05:08 13:50:56	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			68c90a2c8fbd1d055127b52e5ade2648
김윤섭 31_광명 볍씨학교0508_경기도의아이들7219.JPG	A321304M321191.jpg	M-A321191	1431052-A321304	볍씨학교	사진류	image/jpeg	jpg	17 MB	5910x3940		2018:05:08 15:13:40	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			a64813c1359a67c16ba0f1120238899d
김윤섭 32_광명 볍씨학교0508_경기도의아이들7303.JPG	A321305M321192.jpg	M-A321192	1431052-A321305	볍씨학교	사진류	image/jpeg	jpg	12 MB	5709x3806		2018:05:08 15:38:04	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			24eb646bca2acee8dc0e020fddeb3f9c
김윤섭 33_광명 볍씨학교0417_경기도의아이들3534.JPG	A321306M321193.jpg	M-A321193	1431052-A321306	볍씨학교	사진류	image/jpeg	jpg	11 MB	5706x3804		2018:04:17 15:40:28	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			ce846aded9effa12173207932f07c98f
김윤섭 34_광명 볍씨학교0508_경기도의아이들7117.JPG	A321307M321194.jpg	M-A321194	1431052-A321307	볍씨학교	사진류	image/jpeg	jpg	14 MB	5946x3964		2018:05:08 14:27:46	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			0d6fb15830ad0536e800e2e8f6bd1850
김윤섭 36_광명 볍씨학교0417_경기도의아이들3322.JPG	A321309M321196.jpg	M-A321196	1431052-A321309	볍씨학교	사진류	image/jpeg	jpg	11 MB	5946x3964		2018:04:17 13:53:40	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			df88b99d43f5bdb209d556cec3c0fc0e
김윤섭 37_수원 달팽이어린이집0424_경기도의아이들3493.JPG	A321310M321197.jpg	M-A321197	1431052-A321310	달팽이어린이집	사진류	image/jpeg	jpg	12 MB	5702x3801		2018:04:24 12:02:22	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			f25330f82e30bd105cbe3f66084d4474
김윤섭 41_군포 대야미마을교육공동체0519_경기도의아이들_9212.JPG	A321314M321201.jpg	M-A321201	1431052-A321314	대야미마을교육공동체	사진류	image/jpeg	jpg	12 MB	5492x3661		2018:05:19 11:26:01	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			cf9536c000d7e670b511694a3d1faa3d
김윤섭 42_파주 임진각0426_경기도의아이들_남북정상회담 하루 전날 통일시대를 맞이하게 될 아이들 KYS_4795.JPG	A321315M321202.jpg	M-A321202	1431052-A321315	임진각 남북정상회담 하루 전날 통일시대를 맞이하게 될 아이들	사진류	image/jpeg	jpg	11 MB	5485x3657		2018:04:26 18:44:19	김윤섭	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	경기도의 과거와 현재를 잇기	8인의 작가	아이들	인물	봄			06d25a0f2782d540f651164f90eb455a
2010년_8월 12일_ 오전 7시55분_소래대교에서 본 소래포구전경_박홍순.tif	A321639M321521.tif	M-A321521	1431052-A321639	소래대교에서 본 소래포구전경	사진류	image/tiff	tif	28 MB	7686x3778		2010-08-12	박홍순	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의바다	풍경	여름			e97c26838a89c9c4094f4b999068cb25
2010년_9월25일_ 오전 5시57분_송악에서 바라본 서해대교 일출_박홍순.tif	A321647M321529.tif	M-A321529	1431052-A321647	송악에서 바라본 서해대교 일출	사진류	image/tiff	tif	63 MB	6621x3302		2010-09-25	박홍순	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의바다	풍경	가을			797e8646fa1db12ec3ddd434ddb9e9e8
김정헌1_2010_이갑철.tif	A321662M321544.tif	M-A321544	1431052-A321662	김정헌	사진류	image/tiff	tif	47 MB	3305x4958		2010-10-13	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				31279d8b8c5d9a181d63d4718139936e
김정헌2_2010_이갑철.tif	A321663M321545.tif	M-A321545	1431052-A321663	김정헌	사진류	image/tiff	tif	47 MB	4957x3305		2010-10-13	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				637629af2b509094f8ebfa1bd78cff9c
김정헌3_2010_이갑철.tif	A321664M321546.tif	M-A321546	1431052-A321664	김정헌	사진류	image/tiff	tif	47 MB	4957x3305		2010-10-13	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				34911df9bf224f3a61aae4db79af9826
김정헌4_2010_이갑철.TIF	A321665M321547.tif	M-A321547	1431052-A321665	김정헌	사진류	image/tiff	tif	94 MB	4957x3305		2010-10-13	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				d02e60b2285f63ab597c2d1a036ee606
김정헌5_2010_이갑철.TIF	A321666M321548.tif	M-A321548	1431052-A321666	김정헌	사진류	image/tiff	tif	94 MB	3305x4958		2010-10-13	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				cb18de903e044effcff4319400fb69e1
민정기1_2010_이갑철.tif	A321667M321549.tif	M-A321549	1431052-A321667	민정기	사진류	image/tiff	tif	47 MB	4957x3305		2010-09-25	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				f2f57e36beef4e9b2a9e943b30f316e9
민정기2_2010_이갑철.tif	A321668M321550.tif	M-A321550	1431052-A321668	민정기	사진류	image/tiff	tif	47 MB	4957x3305		2010-09-25	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				323a81c378e054a0c3df147a193b682d
민정기3_2010_이갑철.tif	A321669M321551.tif	M-A321551	1431052-A321669	민정기	사진류	image/tiff	tif	47 MB	4957x3305		2010-09-25	이갑철	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	경기도 아카이브를 예술로 해석하기	대여작품	경기도의미술인	인물				fd911fdca1431df318c1595c6b8b7d86
