파일명,파일명 재정리,시청각기록물 등록번호,생산(수집) 등록번호,제목,유형,MIME 유형,File 유형,File 사이즈,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(과업),주제어(주제),주제어(피사체유형),주제어(계절),주제어(지역),위도/경도,MD5 Checksum
가평20180101이방실장군묘_김건우_02.jpg,A320122M320026.jpg,M-A320026,1431052-A320122,이방실장군묘,사진류,image/jpeg,jpg,2.2 MB,1333x2000,,2018-01-01,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,37b3f58d0d5df77dcf954c8b2d7c564f
가평20180101이방실장군묘_김건우_03.jpg,A320123M320027.jpg,M-A320027,1431052-A320123,이방실장군묘,사진류,image/jpeg,jpg,3.3 MB,3000x2000,,2018-01-01,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,895132cb11698e294dddc5a16673e6a4
가평20180101이방실장군묘_김건우_04.JPG,A320124M320028.jpg,M-A320028,1431052-A320124,이방실장군묘,사진류,image/jpeg,jpg,2.4 MB,1333x2000,,2018-01-01,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,96058716eb230439b239e4988075f4ef
가평20180101이방실장군묘_김건우_05.jpg,A320125M320029.jpg,M-A320029,1431052-A320125,이방실장군묘,사진류,image/jpeg,jpg,2.2 MB,1333x2000,,2018-01-01,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,feb690e3ebd996301b1d76399d8ab6ea
가평20180101이방실장군묘_김건우_06.jpg,A320126M320030.jpg,M-A320030,1431052-A320126,이방실장군묘,사진류,image/jpeg,jpg,5.0 MB,3000x2000,,2018-01-01,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,6a1cc2475d7e6ab8d3198aba33076720
가평20180121_이정구선생묘_김건우_10.jpg,A320127M320031.jpg,M-A320031,1431052-A320127,이정구선생묘,사진류,image/jpeg,jpg,4.9 MB,3000x2000,,2018-01-21,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,ff77330572cf219e12f1d21a33894dfd
가평20180221_호명호수_김건우_13.jpg,A320128M320032.jpg,M-A320032,1431052-A320128,호명호수,사진류,image/jpeg,jpg,4.4 MB,3000x2000,,2018-02-21,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,ea2792e22fff97711db980d99bd50998
가평20180221_호명호수_김건우_15.jpg,A320129M320033.jpg,M-A320033,1431052-A320129,호명호수,사진류,image/jpeg,jpg,3.5 MB,3001x2000,,2018-02-21,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,2c6c1925c214232c9c18f603b4916b05
가평20180221_호명호수_김건우_16.jpg,A320130M320034.jpg,M-A320034,1431052-A320130,호명호수,사진류,image/jpeg,jpg,4.0 MB,3000x2000,,2018-02-21,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,가평군,37.819384/127.449726,dd81bc9df2b495344409502b6366dcba
가평20180324_가평대교_김건우_17.jpg,A320131M320035.jpg,M-A320035,1431052-A320131,가평대교,사진류,image/jpeg,jpg,3.1 MB,3000x2000,,2018-03-24,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,34d611346bca9f6f04fa2a5cbc9fe3aa
