"(정책목표)
본부 단위 업무기능",팀(부서) 단위 업무기능,팀원(개인) 단위 업무기능,사업 단위 업무기능,,,,,,
대기능,중기능,소기능,단위과제명,단위과제명,단위과제명(수정),,,,
,[Gportal기준]단위업무명,[추진계획기준]사업명,과업,,약어,,,,
경기천년사업,도민참여,경기천년 드론 사진 공모전,경기천년 드론 사진 공모전 운영,,공모전 운영,,,,
경기천년사업,도민참여,,드론 전문가 초청 특강 진행,,포럼 및 특강,,,,
경기천년사업,도민참여,,포럼 '4차 산업혁명과 경기천년'진행,,포럼 및 특강,,,,
경기천년사업,도민참여,,통합 홍보 실행,,공모전 운영,,,,
경기천년사업,도민참여,경기천년 대축제,경기천년 장인발굴단,,장인발굴단,,,,
경기천년사업,도민참여,,경기천년 생활문화 콜로키움,,콜로키움,,,,
경기천년사업,도민참여,,경기천년대축제,,생활예술축제,,,,
경기천년사업,도민참여,,고려인예술단 공연,,고려인예술단,,,,
경기천년사업,도민참여,,,,홍보(추가),,,,
경기천년사업,도민참여,천년경기의 목소리 공모전,천년경기의 목소리 공모전 운영,,공모전 운영,,,,
경기천년사업,도민참여,,도민 대상 경기천년 브랜드 홍보 영상(인터뷰형) 제작,,브랜드 영상 제작,,,,
경기천년사업,도민참여,,미디어 콘텐츠 노출 및 홍보,,-,,,,
경기천년사업,도민참여,문화민주주의 도민의제 정책연구,정책연구 목표 설정,,,,,,
경기천년사업,도민참여,,정책연구 보고서 발간,,,,,,
경기천년사업,도민참여,,,,,,,,
경기천년사업,도민참여,경기천년 빛나는 정신문화「경기그레이트북스 100선」,경기 관련 대표 도서 카테고리 수립 및 목록화,,목록화,,,,
경기천년사업,도민참여,,도민참여 경기그레이트북스 100선 선정,,100선 선정,,,,
경기천년사업,도민참여,,온?오프라인 콘텐츠화,,콘텐츠화,,,,
경기천년사업,도민참여,경기천년 울릉도 독도 문화제,울등로?독도 문화제 TFT 구성 및 운영,,,sssss,,,
경기천년사업,,,울등도?독도 탐방,,,,,,
경기천년사업,,,경기천년 역사문화 특강,,,,,,
경기천년사업,,,(가칭)경기천년의 이음,,,,,,
경기천년사업,,,경기도-독도 토크콘서트,,,,,,
경기천년사업,,,영상콘텐츠 제작,,,,,,
경기천년사업,도민참여,경기천년 청년페스타 2018,청춘콘서트,,,,,,
경기천년사업,,,청춘 속풀이 강연,,,,,,
경기천년사업,,,부대행사,,,,,,
경기천년사업,브랜딩,경기천년 홍보부스 운영 -2018 경기천년소풍('18년 하반기)-,경기천년 오프라인 현장홍보 운영,,홍보부스 운영,,,,
경기천년사업,브랜딩,,경기천년 홍보물 배포,,홍보부스 운영,,,,
경기천년사업,브랜딩,경기천년 홍보부스 운영 -2018 경기천년소풍('18 상반기)-,경기천년 오프라인 현장홍보 운영,,홍보부스 운영,,,,
경기천년사업,브랜딩,,경기천년 기념품 제작,,기념품 제작,,,,
