file name,title,Artist,Date,Medium,Dimension,Classification,Credit Line,Rights
GB_001,The Terrace at the H?tel Mistral,Georges Braque,1907,Oil on canvas,81.3 ¡¿ 61.3 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_002,Trees at L'Estaque,Georges Braque,1908,Oil on canvas,80.3 x 60.2 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_003,Mandolin and Fruit Dish,Georges Braque,1909,Oil on canvas,38.4 ¡¿ 46 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_004,The Castle of La Roche-Guyon,Georges Braque,1909,Oil on canvas,64.8 ¡¿ 54.6 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_005,Still Life with Metronome,Georges Braque,1909,Oil on canvas,81 x 54.1 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_006,Still Life with Clarinet,Georges Braque,1911,Oil on canvas,64.8 ¡¿ 50.2 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_007,Still Life with Dice,Georges Braque,1911,Charcoal on tan wove paper,25.1 x 32.7cm,Drawings,"Leonard A. Lauder Cubist Collection, Gift of Leonard A. Lauder, 2016","? 2018 Artists Rights Society (ARS), New York"
GB_008,"Violin: ""Mozart Kubelick""",Georges Braque,1912,Oil on canvas,45.7 ¡¿ 61 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_009,Bottle of Marc Vieux,Georges Braque,1912,Oil and charcoal on canvas,54.6 ¡¿ 45.6 cm,Paintings,"Leonard A. Lauder Cubist Collection, Purchase, Leonard A. Lauder Gift, 2015","? 2018 Artists Rights Society (ARS), New York"
GB_010,Fruit Dish and Glass,Georges Braque,1912,Charcoal and cut-and-pasted printed wallpaper with gouache on white laid paper; subsequently mounted on paperboard,62.9 ¡¿ 45.7 cm,Drawings,"Leonard A. Lauder Cubist Collection, Gift of Leonard A. Lauder, 2016","? 2018 Artists Rights Society (ARS), New York"
GB_011,Head of a Woman,Georges Braque,1912,Charcoal and cut-and-pasted printed wallpaper with gouache on white laid paper,61 ¡¿ 47 cm,Drawings,"Leonard A. Lauder Cubist Collection, Gift of Leonard A. Lauder, 2017","? 2018 Artists Rights Society (ARS), New York"
GB_012,"Violin and Sheet Music: ""Petit Oiseau""",Georges Braque,1913,Oil and charcoal on canvas,71.1 ¡¿ 52.1 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_013,"Bottle, Glasses, and Newspapers",Georges Braque,1913,Oil on canvas,38.1 ¡¿ 55.2 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_014,"Still Life on a Table: ""Duo pour fl?te""",Georges Braque,1914,Oil on canvas,45.7 ¡¿ 55.2 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_015,"Still Life: ""2? ?tude""",Georges Braque,1914,"Oil, charcoal, and sand on unprimed canvas",73.3 x 54 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
GB_016,"Bottle, Glass, and Pipe",Georges Braque,1914,"Cut-and-pasted newspaper, painted paper and wallpaper, charcoal, graphite, and gouache on paperboard",48.1 ¡¿ 61.4 cm,"Drawings, Collages","Leonard A. Lauder Cubist Collection, Gift of Leonard A. Lauder, 2016","? 2018 Artists Rights Society (ARS), New York"
GB_017,"Bottle, Glass, and Newspaper",Georges Braque,1914,Charcoal and cut-and-pasted newspaper and printed wallpaper on gessoed paperboard (commercial board from mirror backing),50.5 ¡¿ 61.6 cm,Paintings,"Leonard A. Lauder Cubist Collection, Gift of Leonard A. Lauder, 2017","? 2018 Artists Rights Society (ARS), New York"
GB_018,Bottle of Rum,Georges Braque,1914,Oil on canvas,46 ¡¿ 54.9 cm,Paintings,Promised Gift from the Leonard A. Lauder Cubist Collection,"? 2018 Artists Rights Society (ARS), New York"
